Gravedad_Indicador_Tradicional,Dia_Semana_Acc,Localidad,Clase_Acc,Elemento_Choque,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi
Solo Daños,miércoles,BOSA,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Con Heridos,sábado,KENNEDY,Choque,Vehículo,,,,,SI,,,,,,SI,,,,,,,,,,SI,
Solo Daños,viernes,PUENTE ARANDA,Choque,Vehículo,,,,,,,,,,,SI,,SI,,,SI,,,,,,
Con Heridos,sábado,ENGATIVÁ,Choque,Vehículo,,,,,,SI,,,,SI,,,,,,,,,,,,SI
Solo Daños,miércoles,CIUDAD BOLÍVAR,Choque,Vehículo,,,,,,,,SI,,SI,SI,,SI,,,SI,,,,,,SI
Con Heridos,viernes,BARRIOS UNIDOS,Choque,Vehículo,,,,,,SI,,,,,,,,,,,,,,,,
Solo Daños,jueves,PUENTE ARANDA,Choque,Vehículo,,SI,,,,,,,,,,,,,,,,,,,,
Con Heridos,domingo,KENNEDY,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,domingo,KENNEDY,Choque,Vehículo,,,,,,,,,,,SI,,,,,,,,,,,
Solo Daños,miércoles,KENNEDY,Choque,Vehículo,,SI,,,,,,,,SI,,,,,,,,,,,SI,
Solo Daños,lunes,TUNJUELITO,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,viernes,USAQUÉN,Choque,Vehículo,,,,,,,,,,,SI,,,,,,,,,,SI,
Con Muertos,sábado,RAFAEL URIBE URIBE,Atropello,,,SI,,,,,SI,,,,,,,,,,,,,,,
Solo Daños,domingo,CHAPINERO,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Con Heridos,domingo,BOSA,Choque,Vehículo,,,,,,,,,,SI,,,,,,,,,,,,SI
Solo Daños,jueves,CIUDAD BOLÍVAR,Choque,Vehículo,,,,,,SI,,SI,,,,,,,,,,,,,,
Solo Daños,jueves,USME,Choque,Vehículo,,,,,,,,,,,SI,,SI,,,SI,,,,,,
Solo Daños,domingo,FONTIBÓN,Choque,Vehículo,,,,,,,,,,,,,,,,,,,,,,
Solo Daños,martes,USAQUÉN,Choque,Vehículo,,,,,,SI,,SI,,,,,,,,,,,,,,
Con Heridos,lunes,KENNEDY,Caida de ocupante,,,,,,,,,,,,SI,,SI,,,SI,,,,,,
